City_Id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
107,Nsukka,100,NG,1560103003,85,6.86,7.39,78.46,4.32
108,Kavieng,9,PG,1560103078,77,-2.57,150.8,84.4,10.25
109,Salinopolis,50,BR,1560103078,76,-0.61,-47.36,83.86,14.43
110,Jardim,0,BR,1560103078,43,-21.48,-56.15,83.68,8.7
111,Monrovia,75,LR,1560103078,74,6.33,-10.8,84.2,13.87
112,Olinda,75,EC,1560103078,66,-2.03,-79.75,87.01,8.05
113,Lagoa,20,PT,1560103079,36,37.14,-8.45,77.0,20.8
114,Adrar,0,DZ,1560103079,5,27.87,-0.29,109.4,17.22
115,Sola,0,FI,1560103079,46,62.78,29.36,69.8,9.17
116,Savannah Bight,62,HN,1560103079,81,16.45,-85.85,83.5,21.52
117,San Carlos de Bariloche,90,AR,1560103079,86,-41.13,-71.31,39.2,19.46
118,Atar,17,MR,1560103080,7,20.52,-13.05,109.78,15.88
119,Nouadhibou,20,MR,1560103080,53,20.93,-17.03,77.0,19.46
120,Rawson,100,AR,1560103080,25,-43.3,-65.11,54.16,27.63
121,Roald,75,NO,1560103080,87,62.58,6.12,55.4,17.22
122,Fortuna,0,ES,1560103080,50,38.18,-1.13,84.0,8.05
123,Bambous Virieux,75,MU,1560103081,78,-20.34,57.76,75.2,6.93
124,Esperance,20,TT,1560103081,78,10.24,-61.45,84.0,9.17
125,Petropavlovsk-Kamchatskiy,75,RU,1560103058,100,53.05,158.65,42.8,2.24
126,Hasaki,75,JP,1560103081,100,35.73,140.83,60.8,13.87
127,Port Arthur,75,US,1560103081,62,29.9,-93.93,91.4,3.36
128,Paamiut,63,GL,1560103081,86,61.99,-49.67,40.3,14.97
129,Novyy Urengoy,100,RU,1560103081,81,66.08,76.63,45.52,5.37
130,Shevchenkove,0,UA,1560103082,39,49.7,37.18,78.8,6.71
131,Nanortalik,100,GL,1560103082,77,60.14,-45.24,40.66,3.96
132,Cururupu,86,BR,1560103083,55,-1.82,-44.87,89.26,4.88
133,Bakchar,67,RU,1560103083,97,57.02,82.07,53.26,6.8
134,North Bend,1,US,1560103083,59,43.41,-124.22,70.0,8.05
135,Montepuez,39,MZ,1560103083,60,-13.13,39.0,71.44,6.58
136,Kieta,99,PG,1560103083,75,-6.22,155.63,82.96,6.31
137,Aksu,75,KZ,1560103083,93,52.04,76.93,53.6,8.95
138,Gibsons,90,CA,1560103084,55,49.4,-123.51,66.0,8.05
139,Isangel,77,VU,1560103084,70,-19.55,169.27,74.32,12.71
140,Arlit,1,NE,1560103084,9,18.74,7.39,105.28,8.37
141,Sagaing,99,MM,1560103084,47,21.88,95.98,93.4,15.82
142,Batemans Bay,91,AU,1560103084,88,-35.71,150.18,51.01,1.99
143,Valley City,75,US,1560103084,45,46.92,-98.0,64.4,12.75
144,Le Port,0,FR,1560103085,33,42.87,1.37,77.0,4.7
145,Dimona,0,IL,1560103085,72,31.07,35.04,71.01,9.33
146,Tabas,16,IR,1560103085,17,33.6,56.92,95.0,4.7
147,Gazanjyk,18,TM,1560103086,27,39.24,55.52,82.06,9.44
148,Ville-Marie,1,CA,1560103086,17,47.33,-79.44,82.4,17.22
149,Hilo,90,US,1560103086,73,19.71,-155.08,75.99,5.82
150,Margate,75,AU,1560103136,66,-43.03,147.26,53.6,9.17
151,Del Rio,1,US,1560103137,63,29.36,-100.9,93.2,10.29
152,Qandala,80,SO,1560103137,74,11.47,49.87,88.18,3.33
153,Ahipara,100,NZ,1560103137,67,-35.17,173.16,60.1,8.32
154,Talnakh,20,RU,1560103137,90,69.49,88.39,32.0,6.71
155,Sabang,100,PH,1560103137,78,13.72,123.58,84.22,8.05
156,Cockburn Town,83,TC,1560102886,77,21.46,-71.14,83.14,12.8
157,East London,0,ZA,1560103138,55,-33.02,27.91,66.2,6.93
158,Quatre Cocos,75,MU,1560103138,78,-20.21,57.76,75.2,6.93
159,Talcahuano,40,CL,1560103138,63,-36.72,-73.12,60.8,5.82
160,San Luis,0,AR,1560102957,24,-33.3,-66.34,73.6,12.84
161,Port Blair,100,IN,1560103139,78,11.67,92.75,84.76,23.09
162,Peniche,20,PT,1560103139,60,39.36,-9.38,68.0,13.87
163,Vadso,75,NO,1560103139,93,70.07,29.75,41.0,21.92
164,Nizhneudinsk,59,RU,1560103139,95,54.91,99.03,55.42,4.0
165,Alamogordo,20,US,1560102911,7,32.9,-105.96,91.99,4.7
166,Polonne,80,UA,1560103139,87,50.12,27.51,68.92,7.07
167,Agadir,0,MA,1560103140,53,30.42,-9.58,73.4,17.22
168,Cidreira,5,BR,1560103140,74,-30.17,-50.22,71.98,9.95
169,Chicama,90,PE,1560103140,82,-7.84,-79.15,68.0,8.05
170,Saskylakh,7,RU,1560103140,43,71.97,114.09,63.34,9.86
171,Atuona,54,PF,1560103140,71,-9.8,-139.03,81.88,17.67
172,Srednekolymsk,59,RU,1560103140,53,67.46,153.71,59.38,5.97
173,Tiznit,0,MA,1560103039,80,29.7,-9.73,66.04,24.65
174,Sorland,75,NO,1560103140,87,67.67,12.69,48.2,19.46
175,Balta,75,UA,1560103141,81,47.94,29.62,69.82,6.35
176,Kahului,20,US,1560103106,65,20.89,-156.47,78.8,8.5
177,Kruisfontein,0,ZA,1560103141,22,-34.0,24.73,66.4,9.69
178,Yulara,40,AU,1560103141,44,-25.24,130.99,57.2,3.36
179,Rome,0,IT,1560102956,35,41.89,12.48,86.0,4.7
180,Ashtabula,75,US,1560103141,54,41.87,-80.79,82.4,13.87
181,Nishihara,90,JP,1560103142,93,35.74,139.53,64.4,9.17
182,Sabha,0,LY,1560103142,13,27.03,14.43,92.86,6.69
183,Naze,75,NG,1560103142,94,5.43,7.07,77.0,3.36
184,Airai,4,TL,1560103142,79,-8.93,125.41,75.22,7.92
185,Port Augusta,75,AU,1560103143,55,-32.49,137.76,60.8,9.17
186,Berlevag,25,NO,1560103143,80,70.86,29.09,39.76,22.06
187,Sovetskiy,34,RU,1560103143,78,56.76,48.47,65.5,8.43
188,Gat,20,SN,1560103143,54,14.69,-16.54,84.2,11.41
189,Trincomalee,100,LK,1560103143,73,8.58,81.23,81.52,9.95
190,Leningradskiy,49,RU,1560103144,96,69.38,178.42,38.14,7.38
191,Bandarbeyla,99,SO,1560103144,59,9.49,50.81,84.76,9.78
192,Santa Cruz,1,US,1560103085,28,36.97,-122.03,87.01,4.7
193,Bowen,90,AU,1560103145,88,-20.01,148.25,68.0,8.05
194,Ladario,1,PT,1560103145,68,40.7,-7.74,69.01,8.99
195,Vao,4,EE,1560103145,64,59.1,26.19,61.9,5.01
196,Broome,40,GB,1560103146,67,52.47,1.45,64.4,10.29
197,Glens Falls,1,US,1560103146,29,43.31,-73.64,84.0,5.75
198,Bethel,90,US,1560103082,100,60.79,-161.76,44.6,8.05
199,Hambantota,100,LK,1560103146,80,6.12,81.12,83.68,18.81
200,Okahandja,18,NA,1560103196,16,-21.98,16.91,68.0,3.36
201,Jatai,0,IN,1560103197,10,28.97,76.18,104.02,6.73
202,Achacachi,3,BO,1560103197,74,-16.04,-68.68,41.38,4.68
203,Ouesso,71,CG,1560103197,57,1.61,16.05,80.26,1.97
204,Lompoc,1,US,1560103197,77,34.64,-120.46,89.01,6.93
205,Durban,0,FR,1560103197,56,43.54,0.58,71.01,11.41
206,Tandil,0,AR,1560103197,32,-37.33,-59.14,66.99,7.0
207,Mantua,0,IT,1560103197,51,45.16,10.79,82.99,5.82
208,Ankazoabo,0,MG,1560103198,71,-22.29,44.51,64.42,6.06
209,Zaysan,99,KZ,1560103198,82,47.47,84.87,51.46,5.88
210,Doha,0,QA,1560103198,34,25.29,51.53,100.4,3.36
211,Gimli,67,CA,1560103198,40,50.63,-96.99,63.0,7.0
212,Carmen,100,PH,1560103015,86,7.2,124.8,76.84,1.34
213,Nome,1,US,1560103198,49,30.04,-94.42,93.99,4.7
214,Ambon,100,FR,1560103199,93,47.55,-2.56,59.0,8.05
215,Yugorsk,33,RU,1560103199,51,61.32,63.33,70.9,9.57
216,Harper,1,US,1560103199,43,30.3,-99.24,97.0,11.41
217,Ucluelet,90,CA,1560102948,76,48.94,-125.55,59.0,6.93
218,Buala,100,SB,1560103199,83,-8.15,159.59,82.24,13.62
219,Tiksi,6,RU,1560103200,65,71.64,128.87,43.72,6.08
220,Lermontovka,0,RU,1560103200,91,47.15,134.34,51.1,3.49
221,Souillac,0,FR,1560103200,49,45.6,-0.6,71.6,11.41
222,Hobyo,24,SO,1560103200,64,5.35,48.53,83.68,24.11
223,Bhabua,7,IN,1560103200,22,25.04,83.61,98.08,5.17
224,Georgetown,40,GY,1560102960,70,6.8,-58.16,86.0,11.41
225,Hay River,75,CA,1560103201,50,60.82,-115.79,53.6,11.41
226,Poum,20,MK,1560103201,44,41.28,20.71,75.2,6.93
227,Tual,97,ID,1560103202,83,-5.67,132.75,82.24,18.01
228,Upernavik,0,GL,1560103202,81,72.79,-56.15,33.82,10.11
229,Touros,20,BR,1560103202,45,-5.2,-35.46,87.8,11.41
230,Portland,75,US,1560103031,59,45.52,-122.67,68.0,6.93
231,Usinsk,28,RU,1560103202,71,66.0,57.56,50.2,13.31
232,Vallenar,14,CL,1560103203,40,-28.58,-70.76,70.72,5.91
233,La Ronge,75,CA,1560103204,75,55.1,-105.3,46.4,8.05
234,Biak,99,ID,1560103204,99,-0.91,122.88,65.86,3.69
235,Walvis Bay,0,NA,1560103205,49,-22.95,14.51,69.8,8.05
236,Lata,11,IN,1560103205,61,30.78,78.62,36.88,8.81
237,Lebu,99,ET,1560103205,81,8.96,38.73,60.82,4.5
238,Padang,96,ID,1560103206,75,-0.92,100.36,83.86,7.11
239,Pavilosta,0,LV,1560103206,67,56.89,21.19,62.6,9.17
240,Marystown,71,CA,1560103206,58,47.17,-55.16,54.88,6.13
241,Fort-Shevchenko,0,KZ,1560103206,54,44.51,50.26,75.76,9.08
242,Kamaishi,100,JP,1560103206,99,39.28,141.86,44.98,3.22
243,Tazovskiy,100,RU,1560103206,83,67.47,78.7,39.58,10.11
244,Ancud,40,CL,1560103207,87,-41.87,-73.83,46.4,9.17
245,Mehamn,52,NO,1560103207,79,71.03,27.85,38.86,22.08
246,Foumban,86,CM,1560103207,87,5.73,10.9,67.12,2.06
247,Silver City,1,US,1560102915,9,32.77,-108.28,90.0,6.93
248,Sept-Iles,75,CA,1560103207,38,50.2,-66.38,62.01,13.87
249,Torbay,90,CA,1560103207,93,47.66,-52.73,44.01,16.11
250,Kindu,42,CD,1560103256,60,-2.95,25.92,73.06,2.04
251,Borogontsy,0,RU,1560103257,60,62.67,131.17,52.72,4.27
252,Santa Isabel do Rio Negro,75,BR,1560103257,82,-0.41,-65.02,83.86,3.22
253,Rabo de Peixe,20,PT,1560103257,72,37.8,-25.58,68.0,9.17
254,Kardamaina,20,GR,1560103097,39,36.78,27.14,84.2,13.87
255,Broken Hill,40,AU,1560103257,77,-31.97,141.45,60.8,14.99
256,Teguldet,63,RU,1560103257,95,57.31,88.17,53.44,3.06
257,San Policarpo,92,PH,1560103258,78,12.18,125.51,82.96,5.64
258,Mount Isa,34,AU,1560103258,76,-20.73,139.49,57.2,5.08
259,Saint-Philippe,1,CA,1560103258,21,45.36,-73.48,87.01,6.93
260,Provins,0,FR,1560103258,63,48.56,3.3,69.01,9.17
261,Beringovskiy,2,RU,1560103258,59,63.05,179.32,52.18,4.29
262,Hithadhoo,43,MV,1560103258,80,-0.6,73.08,83.86,6.55
263,Old Shinyanga,84,TZ,1560103259,43,-3.56,33.41,76.12,4.03
264,Kita,75,JP,1560103259,100,35.76,139.74,64.4,10.29
265,Cedar City,1,US,1560102971,21,37.68,-113.06,60.8,10.29
266,Zambezi,0,ZM,1560103259,38,-13.55,23.12,64.96,6.33
